Category,Metric,Value,Source,Date
Current Performance,Written Premium,$4072346,Bonus Dashboard,2025-09
Current Performance,Portfolio Growth Rate,0.2987%,Bonus Dashboard,2025-09
Current Performance,Monthly Bonus,$12058,Bonus Dashboard,2025-09
Benchmarks,Target EBITDA Margin,26.1%,Operational Efficiency Report,2024
Benchmarks,Revenue Per Employee (Target),$200000-$228000,Operational Efficiency Report,2024
Benchmarks,Service Staff Per Producer,2.8,Operational Efficiency Report,2024
Benchmarks,Bundled Customer Retention,95%,CAC/LTV Analysis,2024
Benchmarks,Single Product Retention,67%,CAC/LTV Analysis,2024
Customer Acquisition,CAC - Direct Channel,$487,CAC/LTV Analysis,2024
Customer Acquisition,CAC - Captive Channel,$792,CAC/LTV Analysis,2024
Customer Acquisition,CAC - Independent Channel,$900,CAC/LTV Analysis,2024
Product Mix,Single Policy Customers,61%,Product Mix Analysis,2025
Product Mix,Life Insurance First Year Commission,60-80%,Product Mix Analysis,2025
Product Mix,Life Insurance CLV Premium,34%,Product Mix Analysis,2025
Product Mix,Umbrella Annual Premium,$150-$300,Product Mix Analysis,2025
Product Mix,Umbrella Target Attachment Rate,40%,Product Mix Analysis,2025
Compensation,Base Commission Rate (Current),7%,Compensation Analysis,2025
Compensation,Base Commission Rate (2020),10%,Compensation Analysis,2025
Compensation,Top 10% Agent Income,$500000+,Compensation Analysis,2025
Compensation,Bottom 40% Income Change,-22%,Compensation Analysis,2025
Cross-Sell Opportunity,Expected New Policies,100-350,CrossSell Implementation,2024
Cross-Sell Opportunity,Expected Additional Revenue,$9600-$63000,CrossSell Implementation,2024
Market,Santa Barbara Premium Cost,50% above average,Lead Generation Strategy,2025
