Vendor,Lead Type,Price Per Lead,Monthly Budget $1000,Monthly Budget $5000,Monthly Budget $10000,Quality Rating,Notes
SmartFinancial,Shared,$15-25,40-67 leads,200-333 leads,400-667 leads,High,Top performer
EverQuote,Shared,$20-40,25-50 leads,125-250 leads,250-500 leads,High,Premium pricing
QuoteWizard,Shared,$25-45,22-40 leads,111-200 leads,222-400 leads,Medium-High,Allstate partnership
Insurify,Shared,$15-30,33-67 leads,167-333 leads,333-667 leads,Medium,Volume play
The Zebra,Shared,$18-35,29-56 leads,143-278 leads,286-556 leads,Medium-High,Good quality
NetQuote,Shared,$20-40,25-50 leads,125-250 leads,250-500 leads,Medium,Steady volume
Media Alpha,Exclusive,$75-150,7-13 leads,33-67 leads,67-133 leads,Very High,Premium exclusive
QuoteLabExclusive,Exclusive,$100-200,5-10 leads,25-50 leads,50-100 leads,Very High,Top exclusive
AllWeb Leads,Exclusive,$50-100,10-20 leads,50-100 leads,100-200 leads,High,Good value exclusive
Aged Leads,Aged,$5-15,67-200 leads,333-1000 leads,667-2000 leads,Variable,Nurture campaign
Datalot,Live Transfer,$50-100,10-20 transfers,50-100 transfers,100-200 transfers,Very High,Highest conversion
Hometown Quotes,Live Transfer,$40-80,13-25 transfers,63-125 transfers,125-250 transfers,High,Quality transfers
BoberdooExclusive,Exclusive,$80-120,8-13 leads,42-63 leads,83-125 leads,Very High,Real-time exclusive
Facebook Ads,Self-Gen,$30-60 CPA,N/A - varies,N/A - varies,N/A - varies,Variable,Requires management
Google Ads,Self-Gen,$40-80 CPA,N/A - varies,N/A - varies,N/A - varies,Variable,High intent
