date,type,card,amount,month,vendor
2025-09-17,Credit Card,XXXX5565,1000.0,September 2025,QuoteWizard
2025-09-23,Credit Card,XXXX5565,1000.0,September 2025,QuoteWizard
2025-09-26,Credit Card,XXXX5565,1000.0,September 2025,QuoteWizard
2025-10-01,Late Credits,N/A,147.0,September 2025,QuoteWizard
2025-10-01,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-10-07,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-10-09,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-10-10,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-10-14,Credit Card,XXXX8488,1000.0,October 2025,QuoteWizard
2025-10-16,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-10-20,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-10-23,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-10-28,Credit Card,XXXX5565,1000.0,October 2025,QuoteWizard
2025-11-03,Late Credits,N/A,329.0,October 2025,QuoteWizard
